"Categorie";"Onderdeel";"Nr";"Paragraaf";"Vraag"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"10";"Hfst. 1, art. 2, lid 10";"Het beleidskader stelt dat de zorgaanbieder de AO/IC moet aanpassen ten aanzien van mondzorgdeclaraties. Kan het zorgkantoor verduidelijken of hiervoor landelijke richtlijnen beschikbaar komen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"11";"Hfst. 1, art. 2, lid 10";"Het beleidskader stelt dat de zorgaanbieder de AO/IC moet aanpassen ten aanzien van mondzorgdeclaraties. Kan het zorgkantoor verduidelijken hoe proportionaliteit wordt gewaarborgd voor kleinere zorgaanbieders?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"12";"Hfst. 1, art. 2, lid 12";"Zorgaanbieders worden verplicht om minimaal jaarlijks interne audits uit te voeren op de kwaliteit van mondzorg. Kan het zorgkantoor verduidelijken welke concrete eisen aan deze audits worden gesteld?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"13";"Hfst. 1, art. 2, lid 12";"Zorgaanbieders worden verplicht om minimaal jaarlijks interne audits uit te voeren op de kwaliteit van mondzorg. Kan het zorgkantoor verduidelijken of bestaande kwaliteits- en auditcycli hiervoor gebruikt mogen worden?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"14";"Hfst. 1, art. 2, lid 12";"Zorgaanbieders worden verplicht om minimaal jaarlijks interne audits uit te voeren op de kwaliteit van mondzorg. Kan het zorgkantoor verduidelijken of een afzonderlijke mondzorgaudit verplicht is?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"15";"Hfst. 3";"“Het is de zorgaanbieder … kennis en kunde.” Wij veronderstellen dat het zorgkantoor hiermee doelt op de EVC-certificaten (Erkenning Verworven Competenties) in plaats van ECV. Kunt u dit bevestigen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"16";"Hfst. 3";"De voorgestelde toelichting (“De zorgaanbieder dient na te gaan of zorgverleners beschikken over de vereiste kennis en kunde”) is een herformulering van deze vergewisplicht en voegt daarmee geen inhoudelijke verrijking toe. Dit leidt tot herhaling. Daarnaast geldt de vergewisplicht al voor alle (nieuwe) medewerkers. In de VVT komen EVC-trajecten bovendien nauwelijks voor, waardoor de verwijzing hier niet goed aansluit bij de praktijk. Kunt u toelichten waarom deze aanvulling is opgenomen en wat de aanleiding is om dit expliciet te benadrukken? Is deze toevoeging gebaseerd op een specifieke risico-inschatting of beleidsmatige overweging, of kan dit weg worden gelaten om de tekst algemener en praktijkgericht te houden?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"17";"Hfst. 3";"“De zorgaanbieder is … actueel te houden.” In deze passage heeft u ‘per locatie’ toegevoegd. Kunt u toelichten waarom u deze toevoeging heeft gedaan?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"18";"Hfst. 2";"U stelt: Publicatie(s) over gevoelige situaties die de reputatie van de zorgaanbieder, het zorgkantoor en/of de zorg in het algemeen kunnen schaden, op zo kort mogelijke termijn, en in ieder geval ruim vóór de geplande publicatiedatum. Is het juist dat deze verplichting enkel toeziet op de publicaties die de zorgaanbieder uitbrengt? (op uitingen in de pers kan de zorgorganisatie immers geen regie voeren)"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"19";"Hfst. 3";"Wat is de concrete planning voor de aansluiting van zorgaanbieders op het iWlz-netwerkmodel, inclusief de belangrijkste mijlpalen, afhankelijkheden en aansluitmomenten per zorgaanbieder, zorgkantoorregio en/of leverancier?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"20";"Hfst. 3";"Geldt voor de overgang naar het iWlz-netwerkmodel één landelijk uniform migratiepad, of kan de overgang verschillen per zorgkantoorregio, leverancier of zorgaanbieder? Hoe wordt daarbij rekening gehouden met zorgorganisaties die in meerdere regio’s actief zijn?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"21";"Hfst. 3";"Welke administratieve, technische, organisatorische en financiële impact wordt voor zorgaanbieders verwacht tijdens de overgangsperiode van iWlz-berichtenverkeer naar het netwerkmodel, waaronder implementatie, opleiding, applicatiebeheer, controlewerkzaamheden en eventuele extra inzet van zorgadministratie?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"22";"Hfst. 3";"Hebben de zorgkantoren de relevante softwareleveranciers geïnformeerd en betrokken en wanneer wordt duidelijk of zij tijdig werkende software kunnen leveren waarmee zorgaanbieders aan de verplichtingen in de overeenkomst kunnen voldoen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"23";"Hfst. 3";"Welke afspraken zijn gemaakt over de bekostiging van softwareaanpassingen, implementatie, beheer en ondersteuning? Wordt voorzien dat deze kosten door leveranciers worden doorberekend aan zorgaanbieders, of zijn hierover landelijke afspraken of compensatiemogelijkheden voorzien?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"24";"Hfst. 3";"Welke afspraken gelden als een zorgaanbieder door afhankelijkheid van de eigen softwareleverancier, Silvester of andere landelijke voorzieningen nog niet tijdig kan aansluiten op het netwerkmodel? Kan het zorgkantoor bevestigen dat registratie in registers pas geldt zodra aansluiting technisch, organisatorisch en via de eigen leverancier daadwerkelijk mogelijk is?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"25";"Hfst. 4, art. 13, lid 2";"Artikel 1 van deze overeenkomst verplicht ertoe dat zorg wordt geleverd op basis van wensen en behoeften van clienten met inachtneming en passend binnen de kaders van de indicatie. De administratieve verplichtingen moeten aansluiten bij deze definitie. Wilt u met het oog op consistentie en coherentie art 13 lid 2 zodanig aanpassen dat die aansluit bij de definitie van artikel 1? Zo nee, waarom niet?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"26";"Hfst. 4, art. 13, lid 3";"U stelt: Betalingen voor zorg waarbij de zorgaanbieder niet aan het tweede lid voldoet, moeten door de zorgaanbieder aan het zorgkantoor terug worden betaald. Het zorgkantoor heeft de mogelijkheid ten onrechte gedane betalingen gedurende de duur van de overeenkomst of gedaan in enig voorafgaand jaar te verrekenen bij de herschikking of bij de nacalculatie. Hoe wordt de zorgaanbieder hierover geïnformeerd?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"27";"Hfst. 4, art. 13, lid 3";"U stelt: Betalingen voor zorg waarbij de zorgaanbieder niet aan het tweede lid voldoet, moeten door de zorgaanbieder aan het zorgkantoor terug worden betaald. Het zorgkantoor heeft de mogelijkheid ten onrechte gedane betalingen gedurende de duur van de overeenkomst of gedaan in enig voorafgaand jaar te verrekenen bij de herschikking of bij de nacalculatie. Wordt de zorgaanbieder in de gelegenheid gesteld bezwaar aan te tekenen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"28";"Hfst. 4, art. 13, lid 3";"U stelt: Betalingen voor zorg waarbij de zorgaanbieder niet aan het tweede lid voldoet, moeten door de zorgaanbieder aan het zorgkantoor terug worden betaald. Het zorgkantoor heeft de mogelijkheid ten onrechte gedane betalingen gedurende de duur van de overeenkomst of gedaan in enig voorafgaand jaar te verrekenen bij de herschikking of bij de nacalculatie. Welke verjaringstermijn hanteert het zorgkantoor voor deze vorderingen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"29";"Hfst. 4, art. 13, lid 4";"Op grond van een uitgevoerde (materiële) controle is het zorgkantoor gerechtigd om correcties aan de zorgaanbieder op te leggen teneinde onterecht aan de zorgaanbieder uitgekeerde zorggelden terug te vorderen. Deze correcties worden in beginsel verwerkt in de nacalculatie van het betreffende jaar waarop de controle is uitgevoerd. Hoe wordt de zorgaanbieder hierover geïnformeerd?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"30";"Hfst. 4, art. 13, lid 4";"Op grond van een uitgevoerde (materiële) controle is het zorgkantoor gerechtigd om correcties aan de zorgaanbieder op te leggen teneinde onterecht aan de zorgaanbieder uitgekeerde zorggelden terug te vorderen. Deze correcties worden in beginsel verwerkt in de nacalculatie van het betreffende jaar waarop de controle is uitgevoerd. Wordt de zorgaanbieder in de gelegenheid gesteld bezwaar aan te tekenen?"
"Landelijk beleid";"II. Overeenkomst Wlz 2027-2029";"31";"Hfst. 4, art. 13, lid 4";"Op grond van een uitgevoerde (materiële) controle is het zorgkantoor gerechtigd om correcties aan de zorgaanbieder op te leggen teneinde onterecht aan de zorgaanbieder uitgekeerde zorggelden terug te vorderen. Deze correcties worden in beginsel verwerkt in de nacalculatie van het betreffende jaar waarop de controle is uitgevoerd. Welke verjaringstermijn hanteert het zorgkantoor voor deze vorderingen?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"1";"Hfst. 1";"Voor de bepaling van de vertrektarieven maken zorgkantoren uitsluitend gebruik van de jaarrekeningen van jaar t-2. Het betrekken van meerdere jaren zou leiden tot een minder grillige systematiek en daarmee tot meer financiële stabiliteit en voorspelbaarheid voor aanbieders. Kunt u toelichten waarom ervoor is gekozen om uitsluitend jaar t-2 als basis te hanteren? Zijn zorgkantoren bereid om in de systematiek ook de jaarrekeningen van t-3 en t-4 op te nemen? Zo nee waarom niet?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"2";"Hfst. 1";"Kunt u toelichten waarom gegevens uit jaar t-2 beslissend worden geacht zowel voor de clusterindeling van zorgaanbieders als voor de daarop gebaseerde tariefvorming, en waarom het zorgkantoor deze dubbele beslissende rol van één historisch jaar passend acht bij een zorginkoopbeleid met een looptijd van drie jaren?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"3";"Hfst. 1";"Kunt u toelichten op basis van welke analyse is vastgesteld dat gegevens uit t-2 een representatief beeld geven van de kostenstructuur van zorgaanbieders gedurende volledige looptijd van het Zorginkoopbeleid, gelet op het feit dat clusterindeling en tariefuitkomst voor die gehele periode worden vastgezet?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"4";"Hfst. 1";"Welke alternatieve referentieperiodes (bijvoorbeeld meerdere historische jaren) zijn overwogen bij het ontwerp van het tariefmodel, en op grond van welke overwegingen is ervoor gekozen deze alternatieven niet toe te passen, ondanks het meerjarige karakter van het zorginkoopbeleid?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"5";"Hfst. 2, deel 3";"Bij de onderbouwing van de richttariefpercentages gaat u ervan uit dat 75% van de aanbieders een neutrale of positief resultaat bereikt. Wij menen dat met het bereiken van een neutraal resultaat geen sprake is van een reëel tarief, immers voor een gezonde bedrijfsvoering is een zeker resultaat onontbeerlijk. Bent u bereid om het richttariefpercentage aan te passen waarbij als uitgangspunt wordt genomen dat zorgaanbieders een positief resultaat behalen. Zo nee, waarom niet? Hoe ziet u dan de mogelijkheden van zorgaanbieders om risico’s op te vangen?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"6";"Hfst. 2, stap 3";"Kunt u concreet benoemen op basis van welke analyse(s) is vastgesteld dat bij een aandeel van 85% VPT omzet een relevant omslagpunt in zorgkosten ontstaat ten opzichte van andere extramurale aanbieders?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"7";"Hfst. 2, stap 3";"Kunt u inzichtelijk maken welk deel van de kostenverschillen tussen VPT-aanbieders en andere extramurale aanbieders samenhangt met zorgverlening en welk deel met wonen en aanverwante componenten, en hoe deze verdeling is betrokken bij de vaststelling van de 85% grens?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"8";"Hfst. 2, stap 3";"Kunt u inzichtelijk maken wat het verschil in vertrektarief is tussen een aanbieder met 84,9% VPT omzet en een aanbieder met 85,1% VPT omzet, en op welke verschillen in zorgkosten dit verschil is gebaseerd?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"9";"Hfst. 2, stap 3";"Kunt u toelichten hoe is vastgesteld dat zorgaanbieders die op grond van de 85% VPT grens in hetzelfde cluster worden ingedeeld, een voldoende homogene zorgkostenstructuur hebben om één vertrektarief te rechtvaardigen?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"10";"Hfst. 2, stap 3";"Kunt u toelichten waarom is gekozen voor een harde 85% grens zonder bandbreedte of aanvullende correctie voor wooncomponenten, terwijl niet is onderbouwd dat bij een aandeel van 85% VPT omzet een kwalitatief ander kostenprofiel ontstaat dan bij aanbieders die net onder of boven deze grens vallen?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"11";"Hfst. 2, stap 2";"Kunt u inzichtelijk maken of en in welke omvang de NHC/NIC vergoeding overeenkomt met de feitelijke financieringslasten en baten van zorgaanbieders, en bevestigen of hierover voorafgaand aan de correctie een (kwantitatieve) analyse is uitgevoerd?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"12";"Hfst. 2, stap 2";"Kunt u toelichten hoe groot het effect is op het richttariefpercentage per cluster ten aanzien van de aanname dat de NHC/NIC vergoeding de feitelijke vastgoedkosten dekt, gelet op het feit dat financieringslasten aan de kostenkant worden verwijderd en de referentieopbrengst exclusief NHC/NIC wordt bepaald?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"13";"Hfst. 2, stap 2";"Kunt u inzichtelijk maken wat het effect is op het richttariefpercentage per cluster van de toepassing van de correctie voor de NHC/NIC component, bijvoorbeeld door een vergelijking te geven met een scenario waarin deze correctie achterwege blijft?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"14";"Hfst. 2, stap 2";"Kunt u toelichten welk deel van de feitelijke financieringslasten na toepassing van de NHC/NIC correctie resteert en hoe deze resterende lasten doorwerken in de vaststelling van het richttariefpercentage?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"15";"Hfst. 2, stap 2";"Kunt u toelichten op basis van welke gegevens is vastgesteld dat, ondanks de normatieve correctie voor NHC/NIC, de resterende tariefuitkomst nog reëel is voor zorgaanbieders met hogere feitelijke lasten?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"16";"Hfst. 2, deel 3";"Kunt u inzichtelijk maken of en hoe is beoordeeld dat het hanteren van het 75e percentiel, na toepassing van de clusteringssystematiek en correcties zoals opgenomen in Bijlage 7, leidt tot tarieven die voor een representatief deel van de zorgaanbieders als reëel kunnen worden aangemerkt?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"17";"Hfst. 2, deel 3";"Kunt u inzichtelijk maken welk effect de voorafgaande modelstappen (waaronder sectorindeling, vaste grenswaarden en correcties) hebben op de verdeling van kostenpercentages binnen een cluster, en daarmee op de hoogte van het 75e percentiel?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"18";"Hfst. 2, deel 3";"Kunt u toelichten hoe is vastgesteld dat het 75e percentiel binnen de aldus gevormde clusters nog een representatief beeld geeft van de kostenstructuur van zorgaanbieders, gelet op de toegepaste selectie en correctiestappen?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"19";"Hfst. 2, deel 3";"Kunt u toelichten op welke wijze is beoordeeld dat de uitkomst van het tariefmodel voldoet aan de maatstaf van reële tarieven, en niet uitsluitend dat de gehanteerde methode (het 75e percentiel) in eerdere rechtspraak is aanvaard?"
"Landelijk beleid";"III. Onderbouwing vertrektarieven Wlz 2027";"20";"Hfst. 2, stap 3";"Waarom kiezen zorgkantoren ervoor om in de clustering onderscheid te maken tussen MPT en VPT terwijl in het Hoofdlijnenakkoord wordt toegewerkt naar één leveringsvorm?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"1";"1.1";"Maakt de gezamenlijke verhaallijn het voor (individuele) zorgaanbieders ook mogelijk om budgetten Zvw en Wlz in de eigen organisatie over de grenzen van Zvw (ten behoeve van Wlz-zorg) respectievelijk Wlz (ten behoeve van Zvw-zorg) in te zetten?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"2";"1.2";"U stelt: Behandeling wordt expliciet afhankelijk gemaakt van de beschikbare contracteerruimte. De vraag of iemand in aanmerking komt voor behandeling is uiteindelijk aan de zorgaanbieder die goede zorg moet leveren en de professional die als goed hulpverlener moet handelen. Daartoe zijn zorgaanbieder en zorgprofessional wettelijk verplicht. Dit mag niet afhankelijk zijn van de beschikbare contracteerruimte. Is die ruimte onvoldoende om de zorgplicht van het zorgkantoor te realiseren dan zal het zorgkantoor het Rijk moeten aanspreken op verruiming van de contracteerruimte. Wilt u deze zinsnede schrappen? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"3";"2.3";"U schrijft dat u verwacht dat zorgaanbieders actief aansluiten bij bestaande informele netwerken en steunstructuren in hun omgeving. Vanaf welk moment verwacht u dat? Wij kunnen ons voorstellen dat dat het geval is als er sprake is van één of meer cliënten in een informeel netwerk of steunstructuur, maar niet voordat er cliënten in beeld zijn. Ziet u dat ook zo? Zo nee, hoever gaat uw verwachting dat aanbieders actief op zoek gaan naar informele netwerken en steunstructuren in hun omgeving?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"4";"2.5";"Met betrekking tot fysieke communities schrijft u dat welzijn en zorg aansluiten bij wat inwoners samen organiseren. Tegelijkertijd verwacht u van zorgaanbieders dat zij actief meedenken en het initiatief nemen. Wij interpreteren deze verwachting als volgt. Als een communitie een zorgaanbieder vraagt zich aan te sluiten of betrokken te zijn, dan wijst de zorgaanbieder dat niet af. Klopt onze interpretatie?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"5";"2.5";"Een zorgzame gemeenschap, informele netwerk en steunstructuur, inwonersinitiatief en/of fysieke communitie kan een wijk of buurt betreffen of een particulier initiatief betreffen. Een zorgaanbieder in een stad of regio kan dan betrokken zijn bij misschien wel 20 tot 100 initiatieven. Hoe ziet u de rol van de zorgaanbieder in zo’n situatie voor zich?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"6";"3.1";"U schrijft dat u het belangrijk vindt dat ouderen zoveel mogelijk zelf richting kunnen blijven geven aan hun leden en dat u daarom inzet op het versterken van hun zelfredzaamheid. Hoe gaat Zilveren Kruis en/of Zilveren Kruis zorgkantoor inzetten op het versterken van de zelfredzaamheid van ouderen? Moeten we daarbij denken aan (regionale) campagnes of gaat u (technologische) innovaties verstrekken? Graag een toelichting."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"7";"3.2";"U schrijft bij reablement dat we er samen voor zorgen dat ouderen leven zoals zij willen en dat we beginnen bij wat iemand zelf wil en kan. ‘We’ impliceert Zilveren Kruis en/of Zilveren Kruis zorgkantoor en de zorgaanbieders. Over de rol van zorgaanbieders vinden we voldoende aanwijzingen in het inkoopbeleid. Welke rol speelt Zilveren Kruis bij het samen zorgen dat ouderen leven zoals zij willen?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"8";"3.4";"In de paragraaf ‘Voor zorg thuis met een MPT stimuleren we de inzet van thuiszorgtechnologie’ schrijft u dat thuiszorgtechnologie ter vervanging is van fysieke zorg of leidt tot uitstel van fysieke zorg. Thuiszorgtechnologie die dus geen aantoonbare relatie heeft met fysieke zorg kan dus niet worden ingezet. Klopt dat? Zo nee, graag een toelichting."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"9";"4.2";"In de paragraaf ‘Voor zorg thuis geldt MPT voorliggend op VPT’ stelt u eerst dat zorgaanbieders bij bestaande klanten die nu een VPT krijgen, in goed overleg met de klant, kunnen overstappen naar een MPT. Daarna schrijft u dat u daadwerkelijk een andere leveringsmix verwacht van zorgaanbieders die een VPT declareren (waarbij overleg met de klant niet wordt genoemd). Hoe moeten wij de combinatie van deze twee zinnen interpreteren? Wat is het echte beleid dat u voorstaat met betrekking tot de huidige klanten die een VPT ontvangen?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"10";"4.2";"In het HLO is afgesproken dat het beleid ‘MPT in principe voorliggend op VPT ongeclusterd’ uitsluitend geldt voor nieuwe cliënten. In het inkoopbeleid is opgenomen dat ook bestaande cliënten die momenteel VPT ontvangen kunnen worden overgezet naar een MPT. Zorgkantoor Zilveren Kruis wijkt hiermee af de landelijk vastgestelde kaders. Wij verzoeken u aan te sluiten bij deze afspraken. Bent u hiertoe bereid? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"11";"4.2";"Met betrekking tot het beleid ‘MPT in principe voorliggend op VPT ongeclusterd’, veronderstellen wij dat een cliënt met een CIZ-indicatie het recht heeft om een leveringsvorm te kiezen. In hoeverre houdt u hiermee rekening met het recht dat de cliënt heeft uit hoofde van de WLZ? Kan het zorgkantoor aangeven hoe zij rekening heeft gehouden met cliënten die hun recht op VPT ongeclusterd afdwingen?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"12";"4.2";"Kunt u bevestigen of zorgaanbieders vanaf 2027 de principes mogen toepassen die Zorgkantoor DSW hanteert in de ‘Pilot verminder gebruik AAT en rekenmodule’? Bent u het er mee eens als wij als zorgaanbieder vanaf 2027 de principes gaan toepassen zoals Zorgkantoor DSW deze hanteert in de “Pilot vermindering gebruik AAT en rekenmodule”? Dat betekent dat wij voor cliënten met MPT alleen een AAT in dienen als er een nieuwe aanbieder bij de zorg wordt betrokken, of als de leveringsvorm wijzigt, of als de zorg niet verantwoord geleverd kan worden. Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"13";"4.2";"Mogen wij een cliënt weigeren een ongeclusterde VPT te bieden als deze niet aan het toetsingskader voldoet? Zo ja, waar baseert u dat op?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"14";"4.2";"De tarieven van MPT zijn voor onze organisatie niet kostendekkend. Bent u bereid - als gedeeltelijke compensatie daarvan - om voor de MPT-prestaties een tariefpercentage van 100% van het NZa-tarief overeen te komen? Zo, nee waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"15";"5.2";"U schrijft in paragraaf 5.2 dat het volumeplafond in principe geldt voor de volledige beleidsperiode. Kunt u toelichten wat u bedoelt met ‘in principe’?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"16";"5.2";"In paragraaf 5.2 staat dat u verwacht dat wij het hele jaar door voldoende zorg met verblijf beschikbaar houden en dat wij contact opnemen als we in een maand meer declareren dan past binnen het volumeplafond. Dat snappen wij niet. Het is niet vreemd als wij op jaarbasis binnen het volumeplafond (dat op jaarbasis berekend is) 6 keer boven het maandgemiddelde declareren en 6 keer daaronder. Verwacht u dan dat wij daar 6 keer contact over zoeken?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"17";"5.3";"In paragraaf 5.3 stelt u als voorwaarde voor nieuw aanbod van logeerzorg dat de plekken voor logeerzorg speciaal gereserveerd blijven voor logeerzorg. Daarmee geeft u aan dat deze plekken een beschikbaarheidsfunctie hebben en dus als volume op jaarbasis worden vergoed (en dus niet worden aangepast bij herschikking of nacalculatie)? Klopt dat? Zo nee, dan graag een toelichting hoe we deze voorwaarde moeten interpreteren?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"18";"6.1";"In u beleid beschrijft u een aantal groepen voor wie zorg met verblijf beschikbaar moet blijven. Het nog op te stellen afwegingskader/de opnametoets in het kader van het HLO ziet toe op de vraag welke cliënten zijn aangewezen op zorg met verblijf. Kunt u toelichten waarom Zilveren Kruis hier in het beleid op vooruitloopt en reeds eigen uitgangspunten en cliëntgroepen hanteert?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"19";"6.7";"Met betrekking tot de keuze voor een beperkt aantal aanbieders voor afspraken over essentiële voorzieningen geeft u aan hiervoor een vaste beoordelingsmethode te gebruiken met duidelijke onderdelen. Deze beoordelingsmethode is niet opgenomen in het inkoopbeleid. Wilt u deze beoordelingsmethode delen met het oog op transparantie? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"20";"6.7";"U geeft aan dat met geselecteerde zorgaanbieders afspraken worden gemaakt over het borgen van essentiële voorzieningen, waarvoor middelen uit het regiobudget HLO beschikbaar worden gesteld. Kunt u toelichten waarom de middelen uit het regiobudget HLO niet toegankelijk zijn voor alle aanbieders?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"21";"6.8";"U stelt dat middelen voor DOS-preventieve maatregelen voorrang hebben op middelen uit het regiobudget HLO. Kunt u nader toelichten wat in dit verband wordt verstaan onder ‘voorrang’?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"22";"6.8";"U geeft aan dat het inkoopbeleid DOS Preventieve Maatregelen naar verwachting medio juni 2026 wordt gepubliceerd. Eerder is gecommuniceerd dat dit beleid al in mei beschikbaar zou komen. Kunt u toelichten wat de oorzaak is van deze vertraging, mede gelet op het feit dat dit beleid ook nog betrekking heeft op 2026?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"23";"7.1";"In het inkoopbeleid staat dat u het belangrijkste deel van de contracteerruimte gebruikt voor de vergoeding van de tariefpercentages voor zorg en voor de NHC/NIC en 0,2% reserveert voor onvoorziene omstandigheden. Betekent dit dat 99.8% van de contracteerruimte voor vergoeding van de tariefpercentages voor zorg en de NHC/NIC beschikbaar is en uitgegeven wordt via zorgaanbieders?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"24";"7.2";"“Aanbieders in een groep leveren dezelfde zorg en hebben een vergelijkbare bedrijfsvoering op basis van objectieve kenmerken.” Kunt u toelichten wat deze ‘objectieve kenmerken’ zijn?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"25";"7.2";"In het document wordt gesteld dat het verfijnde model voor tariefdifferentiatie wordt ingevoerd “om meer recht te doen aan verschillen tussen zorgaanbieders zoals gevraagd door de branches”. Wij herkennen ons niet in deze weergave. Voor zover ons bekend hebben de brancheorganisaties niet verzocht om de invoering van dit specifieke model of om verdere tariefdifferentiatie op de wijze zoals nu wordt voorgesteld. Wij verzoeken u daarom deze passage te verwijderen dan wel aan te passen, tenzij u kunt onderbouwen welke brancheorganisaties dit verzoek hebben gedaan. Zonder deze onderbouwing wekt de huidige formulering ten onrechte de indruk dat er vanuit de branches draagvlak bestaat voor deze wijziging. Bent u bereid tot deze wijziging? Zo nee, waarom niet?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"26";"7.3";"U geeft in paragraaf 7.3 aan dat Zilveren Kruis voor de bestaande zorgaanbieders het landelijke vertrektariefpercentage afspreekt voor zorg, waarbij het tariefpercentage van het cluster waarin de zorgaanbieder valt geldt. Hier lopen twee begrippen door elkaar. Onzes inziens neemt Zilveren Kruis de landelijke vertrektariefpercentages over om met de aanbieders identieke tariefpercentages af te spreken. Klopt dat? Zo nee, graag een toelichting."
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"27";"7.3 en 7.4";"In het beleid wordt enerzijds gesteld dat met alle bestaande zorgaanbieders het landelijke vertrektariefpercentage wordt afgesproken, waarbij het tariefpercentage van het cluster waarin de zorgaanbieder valt leidend is. Anderzijds wordt aangegeven dat met een deel van de zorgaanbieders een lager tariefpercentage wordt afgesproken dat 2% onder het vertrektariefpercentage ligt. Onzes inziens spreken deze passages elkaar tegen. Kunt u toelichten hoe deze twee uitgangspunten zich tot elkaar verhouden?"
"Zilveren Kruis";"Zorgkantoor Zilveren Kruis";"28";"7.4";"In paragraaf 7.4 geeft u aan dat u met zorgaanbieders in gesprek kan gaan om maatwerkafspraken te maken over het tariefpercentage met het oog op doelmatigheid. Kunt u een voorbeeld geven van hoe zo’n maatwerkafspraak eruit zou kunnen zien? Blijft het tariefpercentage dan ongewijzigd en hebben de afspraken betrekking op het realiseren van doelmatigheid?"
